ACAD Sample Number,Genetic Sex,Sample QC'd in Online db & lab work files?,Extraction,Est. Amt. of Extract left,Bone left?,PCR,LibraryPrep,Est. Amt. of Post-Bst library left in tram barn,P5 Adapter Sequence,P7 Adapter Sequence,Tapestation File,Post-cleanup Concentration,Shotgun Sequencing Run,Sequencing Index,Shotgun Screening %Endogenous,Shotgun Screening %Clonality,Est. Amt. of PCR-amplified Library left in Darling,Capture Mito,Tapestation File,Post-cleanup Concentration,Est. Amt. of cleaned capture product left,WMG Capture Sequencing Run,Sequencing Index,Capture 10k,Tapestation File,Post-cleanup Concentration,Est. Amt. of cleaned capture product left,SNP Capture Sequencing Run,Sequencing Index,WMG?,Sample Number,Group Number,Sample Description,Category of Sample,Extracted By/Date,ACAD Location,Sample Number,Group Number,Sample Description,Category of Sample,Extracted By/Date,ACAD Location,Date of entry into ACAD,ACAD Location,Sample Number,ABC/Oxford Sample Number,Group Number,Sample Description,Genus,Species,Sub species,Category of Sample,Sample Details,Sample Notes,Region,Country,State,Locality,Specific Location,Latitude,Longitude,How location was obtained,Datum,Collection Details,Collection Notes,Date Collected,Collected by,Quality,Museum Name,Museum Accession Number,Sampled by,Date Sampled,ACAD Location,Carbon Date,Mismatch reason,Extracted By/ Date,Date of entry into ACAD,Import permit #,Notes,Sample repatriated,Bone left?,DNA extract?,Museum,Accn. No.,Radiocarbon Accn. No.,Age ,Cal,SE,N/S,Genbank #,# gens,Sample Reference,Date Source,Centre,Centre_num,Stage,Date,Error,OxCal4.2 Int13 Mean calBP,del13      ,del15      ,Sample Reference,Centre,Centre_num,Date,Error,del13      ,del15      ,Centre,Centre_num,Date,Error,del13      ,del15      ,Shapiro?,Shapiro Success?
521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GP0000,,Bone,,Bison - Canada,,GP0000,,Bone,,Bison - Canada,31-May-01,Bison - Canada,0,ABC04254,GP0000,0,Bison,,,Bone,Metatarsal,,Canada,Canada,,,Dawson area_x000B_Eldorado Creek,63.92,-139.3,From Metcalf et al. 2012 SI data,,,,1981,,,Canadian Museum of Nature,CMN 37712,Alan and Beth,28-May-00,Bison - Canada,,,0,31-May-01,200507186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GP0000,,Bone,,Bison - Canada,,GP0000,,Bone,,Bison - Canada,31-May-01,Bison - Canada,0,ABC04354,GP0000,0,Bison,,,Bone,metacarpal,Path:  Arth?,Canada,Canada,,,Dawson area_x000B_Eldorado Creek,63.92,-139.3,From Metcalf et al. 2012 SI data,,,,1987,,,Canadian Museum of Nature,CMN 45319,Alan and Beth,28-May-00,Bison - Canada,,,0,31-May-01,200507186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GP0000,,Bone,,Bison - Canada,,GP0000,,Bone,,Bison - Canada,31-May-01,Bison - Canada,0,ABC04352,GP0000,0,Bison,,,Bone,metacarpal,,Canada,Canada,,,Dawson area_x000B_Eldorado Creek,63.92,-139.3,From Metcalf et al. 2012 SI data,,,,1987,,,Canadian Museum of Nature,CMN 45579,Alan and Beth,28-May-00,Bison - Canada,,,0,31-May-01,200507186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GP0000,,Bone,,Bison - Canada,,GP0000,,Bone,,Bison - Canada,31-May-01,Bison - Canada,0,ABC04320,GP0000,0,Bison,,,Bone,Metacarpal,,Canada,Canada,,,Dawson area _x000B_Eldorado Creek,63.92,-139.3,From Metcalf et al. 2012 SI data,,,,1981,,,Canadian Museum of Nature,CMN 37723,Alan and Beth,28-May-00,Bison - Canada,,,0,31-May-01,200507186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GP0000,,Bone,,Bison - Canada,,GP0000,,Bone,,Bison - Canada,31-May-01,Bison - Canada,0,ABC04276,GP0000,0,Bison,,,Bone,R. metacarpal,_x000B_,Canada,Canada,,,Dawson area_x000B_Eldorado Creek,63.92,-139.3,From Metcalf et al. 2012 SI data,,,,1981,,,Canadian Museum of Nature,CMN 37724,Alan and Beth,28-May-00,Bison - Canada,,,0,31-May-01,200507186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GP0000,,Bone,,Bison - Canada,,GP0000,,Bone,,Bison - Canada,31-May-01,Bison - Canada,0,ABC04373,GP0000,0,Bison,,,Bone,L. metacarpal,Path:  arth?,Canada,Canada,,,Dawson area_x000B_Nugget Gulch,63.8833333,-139.3,Estimated from location description and coordinates listed in Harington and Morlan 2002,,,,1988,,,Canadian Museum of Nature,CMN 46332,Alan and Beth,28-May-00,Bison - Canada,,,0,31-May-01,200507186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GP0000,,Bone,,Bison - Canada,,GP0000,,Bone,,Bison - Canada,31-May-01,Bison - Canada,0,ABC04270,GP0000,0,Bison,,,Bone,R. metacarpal,,Canada,Canada,,,Dawson area_x000B_Hunker Creek,63.916667,-138.866667,Estimated from location description and coordinates listed for entry #561 in Harington et al. 2003 - Annotated Bibliography of Quaternary Vertebrates of Northern North America: With Radiocarbon Dates,,,,1977,,,Canadian Museum of Nature,CMN 33816,Alan and Beth,28-May-00,Bison - Canada,,,0,31-May-01,200507186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GP0000,,Bone,,Bison - Canada,,GP0000,,Bone,,Bison - Canada,31-May-01,Bison - Canada,0,ABC04530,GP0000,0,Bison,,,Bone,mand - big ulceratn,path,Canada,Canada,,Dawson area loc39,Eldorado Ck,64.8333333,-147.6666667,From Debruyne et al. 2008 SI,,,,1988,,,Canadian Museum of Nature,CMN 46349,Alan Cooper,,Bison - Canada,,,0,31-May-01,200507186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GP0000,,Bone,,Bison - Canada,,GP0000,,Bone,,Bison - Canada,31-May-01,Bison - Canada,0,ABC04365,GP0000,0,Bison,,,Bone,L. metacarpal,,Canada,Canada,,,Dawson area_x000B_Eldorado Creek,63.92,-139.3,From Metcalf et al. 2012 SI data,,,,1991,,,Canadian Museum of Nature,CMN 49882,Alan and Beth,28-May-00,Bison - Canada,,,0,31-May-01,200507186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GP0000,,Bone,,Bison - Canada,,GP0000,,Bone,,Bison - Canada,31-May-01,Bison - Canada,0,ABC04374,GP0000,0,Bison,,,Bone,L. metacarpal,,Canada,Canada,,,Dawson area_x000B_Eldorado Creek,63.92,-139.3,From Metcalf et al. 2012 SI data,,,,1985,,,Canadian Museum of Nature,CMN 44518,Alan and Beth,28-May-00,Bison - Canada,,,0,31-May-01,200507186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
