A1001	0.15903	0.0808889
A1003	0.19315	0.211338
A1005	0.151907	0.151807
A1006	0.357437	0.332072
A1007	0.135388	0.11479
A1008	0.0994152	0.0816832
A1009	0.124719	0.111812
A1010	0.0620645	0.114458
A1011	0.321818	0.165017
A1012	0.267081	0.322025
A1013	0.115564	0.116928
A1014	0.0272097	0.0698603
A1015	0.17424	0.132636
A1016	0.207679	0.177739
A1019	0.08208	0.0794787
A1022	0.177356	0.321396
A1025	0.140176	0.139232
A1026	0.0463869	0.036029
A1027	0.117914	0.124507
A1028	0	0
A1030	0.0724283	0.0576497
A1031	0	0.142857
A1032	0.112544	0.130963
A1033	0.173225	0.142112
A1034	0.206897	0.348301
A1036	0	0
A1037	0.0631908	0.0572149
A1038	0.0784533	0.0694685
A1039	0.135142	0.183253
A1040	0.134319	0.140647
A1041	0.151594	0.105851
A1042	0.0899692	0.195916
A1043	0.205543	0.13211
A1044	0.121655	0.111404
A1046	0.29087	0.213211
A1048	0.409333	0.361144
A1053	0.0480609	0.0684993
A1055	0.13355	0.222222
A1059	0.0929695	0.206801
A1061	0.232058	0.238684
A1064	0.0660225	0.0587248
A1288	0.221459	0.192202
A1303	0.0520213	0.0424635
A1438	0.190834	0.107169
A1439	0.169213	0.154567
A1440	0.103125	0.0770925
A1441	0.205479	0.200894
A1442	0.117647	0.124555
A1454	0.113759	0.0746474
A1455	0.0304054	0.0648855
A1456	0.171429	0.333333
A1460	0.14899	0.117335
A1466	0.318471	0.378882
A1468	0.219391	0.11521
A1469	0.07765	0.0865385
A1470	0.302181	0.367284
A1476	0.196262	0.220844
A1480	0.25	0.240997
A1488	1	0
A1489	0	0
A1508	0.103712	0.108931
A1509	0	0
A1510	0.0766639	0.100851
A1514	0.214885	0.193934
A1517	0.105436	0.131448
A1518	0.250689	0.280112
A1530	0.292749	0.223781
A1538	0.0614313	0.050037
A1544	0.119048	0.176471
A1546	0.0507937	0.0353982
A1548	0.0831738	0.115709
A1555	0.0480524	0.0645566
A1558	0.293407	0.287191
A1559	0.110749	0.0750751
A15637	0.444444	0.411765
A15654	0.0438104	0.017548
A15667	0.111111	0.125
A15668	0	0
A15669	0.038835	0.0666667
A1567	0.0837209	0.0749415
A15672	0.0813874	0.0939345
A15673	0.0360262	0.0173459
A15674	0.132396	0.0511005
A15675	0.119542	0.105072
A1569	0.0357847	0.057072
A1570	0.0555556	0.0634328
A1573	0.139512	0.0626251
A1574	0.107066	0.0979021
A1587	0.25	0.157895
A1590	0	0
A16075	0.113585	0.102091
A16077	0.147339	0.180197
A16119	0.111977	0.123069
A16120	0.116457	0.106136
A16121	0.0309625	0.0397885
A16122	0.197493	0.189267
A16124	0.142051	0.129526
A16128	0.281912	0.287598
A16132	0.115839	0.117395
A16134	0.166076	0.172199
A16149	0.112099	0.137839
A16150	0.164644	0.152605
A16151	0.132281	0.15668
A16152	0.0616642	0.067043
A16153	0.132108	0.141075
A16165	0.138041	0.145065
A16171	0.039801	0.039438
A16172	0.129899	0.13448
A16255	0.0666667	0.0877193
A17398	0.10828	0.114901
A17399	0.122881	0.100324
A17400	0	0
A17401	0.108945	0.115629
