Anomalurus derbianus	65	80	0.45
Anomalurus pusillus	21	30	0.41
Anotomys leander	1	8	0.11
Anoura caudifer	137	139	0.50
Anoura cultrata	40	61	0.40
Anoura geoffroyi	423	389	0.52
Anoura latidens	3	8	0.27
Anourosorex assamensis	14	22	0.39
Anourosorex squamipes	116	84	0.58
Antechinomys spenceri	0	2	0.00
Antechinus bellus	1	0	1.00
Antechinus ferruginifrons	2	0	1.00
Antechinus flavipes	35	52	0.40
Antechinus fuliginosus	2	0	1.00
Antechinus godmani	23	27	0.46
Antechinus leo	37	26	0.59
Antechinus minimus	6	0	1.00
Antechinus stuartii	68	42	0.62
Antechinus swainsonii	32	31	0.51
Antechinus unicolor	4	0	1.00
Anthops ornatus	2	2	0.50
Antidorcas marsupialis	49	30	0.62
Antidorcus marsupialis	1	0	1.00
Antilocapra americana	63	53	0.54
Antilope cervicapra	187	168	0.53
Antilope mhorr	2	0	1.00
Antrozous pallidus	71	131	0.35
Aonyx capensis	9	13	0.41
Aonyx cinerea	2	0	1.00
Aotus azarae	24	25	0.49
Aotus lemurinus	14	23	0.38
Aotus miconax	2	0	1.00
Aotus nancymaae	6	8	0.43
Aotus nigriceps	12	15	0.44
Aotus trivirgatus	89	94	0.49
Aotus vociferans	7	19	0.27
Aplodontia rufa	34	23	0.60
Apodemus agrarius	489	368	0.57
Apodemus alpicola	22	21	0.51
Apodemus argenteus	189	164	0.54
Apodemus chevrieri	214	243	0.47
Apodemus draco	614	634	0.49
Apodemus epimelas	87	73	0.54
Apodemus flavicollis	577	404	0.59
Apodemus gurkha	149	106	0.58
Apodemus hyrcanicus	27	15	0.64
Apodemus latronum	162	163	0.50
Apodemus mystacinus	61	51	0.54
Apodemus pallipes	172	86	0.67
Apodemus peninsulae	233	180	0.56
Apodemus rusiges	68	35	0.66
Apodemus semotus	7	9	0.44
Apodemus sp	0	1	0.00
Apodemus speciosus	300	247	0.55
Apodemus sylvaticus	2620	1690	0.61
Apodemus uralensis	7	7	0.50
Apodemus uralensis?	93	50	0.65
Apodemus witherbyi	25	16	0.61
Apomys abrae	1	0	1.00
Apomys datae	0	2	0.00
Apomys insignis	6	6	0.50
Arborimus albipes	2	0	1.00
Arborimus longicaudus	1	5	0.17
Arborimus pomo	1	1	0.50
Arctictis binturong	16	7	0.70
Arctocebus aureus	2	0	1.00
Arctocebus calabarensis	27	19	0.59
Arctocephalus australis	24	6	0.80
Arctocephalus forsteri	22	4	0.85
Arctocephalus galapagoensis	2	1	0.67
Arctocephalus gazella	64	43	0.60
Arctocephalus philippii	1	0	1.00
Arctocephalus pusillus	41	20	0.67
Arctocephalus tropicalis	41	22	0.65
Arctogalidia trivirgata	16	19	0.46
Arctonyx collaris	14	4	0.78
Ardops nichollsi	13	8	0.62
Arielulus circumdatus	0	1	0.00
Ariteus flavescens	6	9	0.40
Artibeus amplus	22	21	0.51
Artibeus anderseni	104	72	0.59
Artibeus aztecus	28	27	0.51
Artibeus bogotensis	60	61	0.50
Artibeus bogotentsis	2	1	0.67
Artibeus cinereus	378	364	0.51
Artibeus concolor	103	160	0.39
Artibeus fallax	0	1	0.00
Artibeus fimbriatus	5	4	0.56
Artibeus fraterculus	32	30	0.52
Artibeus glaucus	108	106	0.50
Artibeus gnomus	154	142	0.52
Artibeus hartii	22	15	0.59
Artibeus hirsutus	2	6	0.25
Artibeus inopinatus	2	3	0.40
Artibeus intermedius	115	88	0.57
Artibeus intermedius ?	2	1	0.67
Artibeus jamacensis	2	0	1.00
Artibeus jamaicensis	1335	1443	0.48
Artibeus lituratus	1060	1163	0.48
Artibeus lituratus ?	0	1	0.00
Artibeus obscurus	657	309	0.68
Artibeus phaeotis	218	235	0.48
Artibeus planirostris	818	1071	0.43
