sample	sex	site_type	material	material2	lat	lon	alt	age	endog	Nx	Na	Lx	La	GC	readlen	C2T	G2A
A1514	M	Sediment	Foot	Postcrania	69.25	227.717	NA	58293	0.0310918125176	388	13318	148823899	2512082506	0.446553	55.5674	0.214885	0.193934
A1517	F	Sediment	Leg	Postcrania	70.81	205.59	0.6	37567	0.315612498166	1044	18780	148823899	2512082506	0.422343	61.9492	0.105436	0.131448
A1530	M	Sediment	Foot	Postcrania	63.9426	221.3762	461.4	NA	0.0281710854346	418	14777	148823899	2512082506	0.425188	60.3829	0.292749	0.223781
A1538	F	Sediment	Tooth	Crania	51.4	245.514	1235.3	2908	0.0319116895257	1082	18993	148823899	2512082506	0.415426	65.8871	0.0614313	0.050037
A1548	M	Sediment	Foot	Postcrania	60.729	224.917	685.5	34506	0.542227145944	567	19351	148823899	2512082506	0.426305	61.4171	0.0831738	0.115709
A1555	M	Sediment	Leg	Postcrania	70.81	205.59	0.6	36324	0.542084805346	561	19409	148823899	2512082506	0.410177	61.5555	0.0480524	0.0645566
A15672	M	Sediment	NA	NA	69.4	155	4.2	29838	0.0664258434006	598	19286	148823899	2512082506	0.416439	68.9866	0.0813874	0.0939345
A15673	F	Sediment	NA	NA	70.5	156.8	14	19385	0.58295553149	1102	18806	148823899	2512082506	0.395717	62.6493	0.0360262	0.0173459
A15674	M	Sediment	NA	NA	67.492621	153.764794	16.1	NA	0.393784356295	590	19296	148823899	2512082506	0.409824	63.0745	0.132396	0.0511005
A15675	M	Sediment	NA	NA	67.492621	153.764794	16.1	36928	0.242431624857	529	19133	148823899	2512082506	0.395542	63.6607	0.119542	0.105072
A1569	M	Sediment	Foot	Postcrania	65.57	211.62	360	24953	0.381371716508	483	19426	148823899	2512082506	0.455417	57.6604	0.0357847	0.057072
A1573	M	Sediment	Foot	Postcrania	64.84	212.04	159.7	27607	0.0529348446195	538	19440	148823899	2512082506	0.453023	55.8725	0.139512	0.0626251
A16075	M	Sediment	NA	NA	63.9833333	220.9647222	539.3	NA	NA	539	19011	148823899	2512082506	0.445519	67.4836	0.113585	0.102091
A16119	F	Sediment	Petrosal	Crania	64.056383	220.570381	339	26716	0.593918720788	1031	19040	148823899	2512082506	0.434305	60.5101	0.111977	0.123069
A16121	M	Sediment	Petrosal	Crania	64.0563833	220.5703806	339	14799	0.613799992425	575	19533	148823899	2512082506	0.43355	58.6043	0.0309625	0.0397885
A16124	M	Sediment	Petrosal	Crania	64.0563833	220.5703806	339	32484	0.355825632585	553	19162	148823899	2512082506	0.42974	55.8786	0.142051	0.129526
A16128	M	Sediment	Petrosal	Crania	63.8838889	220.7261111	643.5	NA	NA	548	19390	148823899	2512082506	0.416309	59.9878	0.281912	0.287598
A16132	M	Sediment	Petrosal	Crania	64.0563833	220.5703806	339	49860	0.520243856633	542	19497	148823899	2512082506	0.43655	56.3496	0.115839	0.117395
A16134	M	Sediment	Petrosal	Crania	64.0563833	220.5703806	339	NA	0.58145482984	508	19552	148823899	2512082506	0.428787	55.8858	0.166076	0.172199
A16149	M	Sediment	Leg	Postcrania	63.8189	220.9317	531	NA	NA	578	19497	148823899	2512082506	0.422314	63.8327	0.112099	0.137839
A16150	M	Sediment	Leg	Postcrania	64.0563833	220.5703806	339	NA	0.522512319312	599	19143	148823899	2512082506	0.426827	62.9575	0.164644	0.152605
A16151	F	Sediment	Leg	Postcrania	63.8189	220.9317	531	NA	NA	1065	19008	148823899	2512082506	0.427758	62.9919	0.132281	0.15668
A16153	M	Sediment	NA	NA	63.8189	220.9317	531	NA	NA	548	19451	148823899	2512082506	0.433029	58.3893	0.132108	0.141075
A16165	F	Sediment	Petrosal	Crania	63.82	220.9641667	551.6	NA	0.529521988632	1047	18831	148823899	2512082506	0.429462	54.8113	0.138041	0.145065
A16171	M	Sediment	Petrosal	Crania	64.0563833	220.5703806	339	40999	0.560875898992	542	19563	148823899	2512082506	0.44216	59.9498	0.039801	0.039438
A17401	F	Sediment	Leg	Postcrania	46.03041	14.80185	313.2	NA	0.00782987381009	1009	18779	148823899	2512082506	0.418287	50.207	0.108945	0.115629
A17407	M	Sediment	Tooth	Crania	54.652312	24.933632	145	NA	0.0190270431602	268	10122	148823899	2512082506	0.42333	52.5789	0.0470193	0.0489578
A17410	M	Sediment	OtherCrania	Crania	46.334191	6.058036	623.1	4901	0.0264089042374	466	19130	148823899	2512082506	0.439999	57.5722	0.0414026	0.0959978
A17413	M	Sediment	OtherCrania	Crania	43.033433	23.216867	1080.7	3808	0.0196971854971	409	14250	148823899	2512082506	0.395634	59.2519	0.0565611	0.0844558
A17414	M	Sediment	OtherCrania	Crania	43.033433	23.216867	1080.7	3854	0.422812281121	505	19322	148823899	2512082506	0.444846	57.5723	0.047378	0.0604382
A17416	M	Sediment	Leg	Postcrania	47.130036	21.460144	89.4	NA	0.00144052125182	174	7670	148823899	2512082506	0.433025	51.0415	0.131512	0.124803
A17425	F	Sediment	OtherCrania	Crania	48.6562	16.4129	218.1	6708	0.00181382156378	512	9841	148823899	2512082506	0.448612	44.7161	0.114848	0.0753165
A17427	M	Sediment	OtherCrania	Crania	46.63861	14.4475	453.1	2045	0.0700540013191	547	19564	148823899	2512082506	0.417323	63.7158	0.0569979	0.046332
A17429	M	Sediment	OtherCrania	Crania	48.210033	16.363449	177.5	2233	0.211538147066	566	19374	148823899	2512082506	0.415168	62.5385	0.047507	0.0579176
A17431	M	Sediment	FlatBone	Postcrania	55.232642	10.144987	19.5	10890	0.0110028749798	522	19500	148823899	2512082506	0.422465	47.4646	0.102097	0.117258
A17432	M	Sediment	Vertebra	Postcrania	55.401959	9.981806	43	NA	0.0185964255882	211	7893	148823899	2512082506	0.4394	42.4325	0.116119	0.118056
