sample	sex	site_type	material	material2	lat	lon	alt	age	endog	Nx	Na	Lx	La	GC	readlen	C2T	G2A
A980	M	Sediment	Leg	Postcrania	64.06	218.11	494.9	14451	0.424463256122	531	19375	148823899	2512082506	0.446348	64.4497	0.196759	0.129419
A982	F	Cave	Leg	Postcrania	44.897	251.849	1199.2	3448	0.559450994716	1124	18865	148823899	2512082506	0.413293	67.7331	0.0260698	0.0782225
A983	M	Sediment	OtherCrania	Crania	61.547	224.174	683.4	2549	0.0128284758155	132	4973	148823899	2512082506	0.446275	58.3608	0.141684	0.0875332
A985	M	Sediment	Leg	Postcrania	68.6166667	159.1333333	45.7	17783	0.549235236051	542	19366	148823899	2512082506	0.44083	62.8009	0.12956	0.15116
A987	M	Sediment	NA	NA	68.275	161.25	3.6	NA	0.014722204177	562	19457	148823899	2512082506	0.419526	57.4561	0.36301	0.304013
A988	U	Sediment	NA	NA	68.6166667	159.1333333	45.7	NA	0.0287736602389	715	18970	148823899	2512082506	0.439762	64.955	0.177278	0.176504
A989	M	Sediment	Leg	Postcrania	65.063	193.82	107.7	23378	0.110420729376	553	19291	148823899	2512082506	0.450673	55.214	0.113712	0.117307
A992	F	Sediment	Leg	Postcrania	64.06	218.11	494.9	19549	0.34210432563	1101	19019	148823899	2512082506	0.42498	64.4391	0.0779183	0.0580564
A993	M	Sediment	Leg	Postcrania	55.969	236.218	681.9	12357	0.358665055003	566	19207	148823899	2512082506	0.43272	66.2679	0.227904	0.259911
A995	M	Sediment	NA	NA	71.16	153.45	-9.9	27861	0.307135632959	562	19440	148823899	2512082506	0.443606	63.5301	0.107091	0.139667
A996	M	Sediment	NA	NA	68.6166667	159.1333333	45.7	NA	0.236622133916	582	19336	148823899	2512082506	0.448716	60.4228	0.113553	0.118855
A998	M	Sediment	Foot	Postcrania	64.06	218.11	494.9	14759	0.0260646242504	526	19419	148823899	2512082506	0.439708	57.3779	0.240193	0.185479
A999	M	Sediment	NA	NA	68.275	161.25	3.6	45562	0.197006740807	545	19206	148823899	2512082506	0.430057	53.9856	0.0951638	0.131529
