SampleID,ACAD Number,Sex Assignment,Location ,Region,Latitude,Site type,Bone Type,Collected From,Date,Endogenous,Endogenous2,Clonal,Raw_Mit,Uniq_Mit,Raw_Nuc,Uniq_Nuc,RatioMtNu
A1946_MEGA17LIB4.8,1946,M,Russia,Eurasia,51,Cave,Long Bone,Field,13830,0.203255551,0.203255551,0.023506054,1056,1028,193362,188820,0.005444339
A3643_MEGA17LIB4.9,3643,F,Austria,Europe,48.053486,Cave,Podial,Museum,10870,0.031665887,0.031665887,0.015253017,59,58,36065,35515,0.001633113
A3644_MEGA17LIB5.7,3644,M,Austria,Europe,47.666667,Cave,Podial,Museum,6615,0.063682419,0.063682419,0.015921342,130,129,55707,54819,0.002353199
A3645_MEGA17LIB4.10,3645,M,Germany,Europe,47.75695,Cave,Tooth,Museum,11872,0.201163378,0.201163378,0.016969118,167,163,238384,234340,0.000695571
A3646_MEGA17LIB2.6,3646,M,Italy,Europe,45.972524,Cave,Long Bone,Museum,11900,0.010488801,0.010488801,0.021109345,46,46,11276,11037,0.004167799
A3647_MEGA17LIB4.11,3647,F,Switzlerand,Europe,46.976806,Cave,Long Bone,Museum,9700,0.016937234,0.016937234,0.014316392,55,54,12518,12339,0.004376368
A3648_Mega17Lib21.7,3648,F,Switzerland,Europe,46.976806,Cave,Long Bone,Museum,9700,0.029558977,0.029558977,0.417032582,251,142,53951,31456,0.004514242
A3649_MEGA17LIB5.9,3649,F,Switzlerand,Europe,46.976806,Cave,Tooth,Museum,3275,0.192521145,0.192521145,0.024771448,863,839,142649,139118,0.006030852
A3650_MEGA17LIB5.10,3650,M,Switzlerand,Europe,46.976806,Cave,Undefined,Museum,4135,0.074784773,0.074784773,0.015868469,667,660,69157,68056,0.009697896
A3651_MEGA17LIB5.11,3651,F,Austria,Europe,47.613552,Cave,Undefined,Museum,2935,0.053369929,0.053369929,0.017340936,391,381,55027,54076,0.007045639
A3928_Mega17Lib25.9,3928,F,Denmark,Europe,55.702466,Sediment,Long Bone,Museum,,0.003795723,0.003795723,0.014573588,7,7,16667,16424,0.000426206
A4098_MEGA17LIB5.12,4098,M,Russia,Eurasia,44.166441,Cave,Long Bone,Museum,42900,0.013817362,0.013817362,0.019804016,78,78,14515,14226,0.005482919
A5390_Mega17Lib22.7,5390,M,Russia,Eurasia,56.10973,Anthropogenic,Tooth,Museum,0,0.014022943,0.014022943,0.030165994,822,794,36107,35021,0.022672111
A5391_Mega17Lib22.8,5391,F,Russia,Eurasia,56.10973,Anthropogenic,Tooth,Museum,0,0.406735574,0.406735574,0.026062187,220,211,747530,728051,0.000289815
A5392_Mega17Lib22.9,5392,M,Russia,Eurasia,56.10973,Anthropogenic,Tooth,Museum,0,0.239316988,0.239316988,0.026343164,211,206,346824,337687,0.000610032
A5393_Mega17Lib22.10,5393,M,Russia,Eurasia,56.10973,Anthropogenic,Tooth,Museum,0,0.281641603,0.281641603,0.032106065,1349,1308,526028,509137,0.002569053
A5394_Mega17Lib22.11,5394,M,Russia,Eurasia,56.10973,Anthropogenic,Tooth,Museum,0,0.242700125,0.242700125,0.026697225,182,179,567480,552328,0.000324083
A5883_Mega17Lib25.12,5883,M,China,Eurasia,41.683333,Cave,Tooth,Museum,,0.002701145,0.002701145,0.012466863,19,19,13938,13764,0.001380413
A5889_Mega17Lib25.13,5889,M,China,Eurasia,40.579417,Cave,Tooth,Museum,,0.006116115,0.006116115,0.014119137,134,129,26709,26335,0.004898424
A11725_Mega17Lib25.14,11725,M,UK,Europe,58.10367,Cave,Long Bone,Museum,,0.006815287,0.006815287,0.014702205,123,122,19874,19581,0.00623053
A16510_Mega17Lib14.6,16510,M,Spain,Europe,42.543333,Mass death,Undefined,Field,17440,0.13526652,0.13526652,0.029855753,454,438,226102,219354,0.001996772
