data	model	coeff	Estimate	Std. Error	z value	Pr(>|z|)
mammoths	loc	Chaun Bay - Pineyveem River	-1.09077713043509	1.12625646089766	-0.968498000504891	0.332795717117062
mammoths	loc	Gydan Peninsula	0.839229778478599	1.73062996299303	0.484927336533107	0.627727890374365
mammoths	loc	Indigirka	0.839229778478613	1.73062996299303	0.484927336533115	0.627727890374359
mammoths	loc	Magadan	0.839229778478612	1.73062996299303	0.484927336533115	0.627727890374359
mammoths	loc	New Siberian Islands	0.0811065873657808	0.84820655282442	0.0956212694840734	0.923821371999052
mammoths	loc	Pegtymel River	0.839229778478612	1.73062996299303	0.484927336533115	0.627727890374359
mammoths	loc	Siberia - unknown	1.52792477620672	1.56150648935016	0.978494029085069	0.327830043028857
mammoths	loc	Taimyr	0.254616963327147	1.08105900233212	0.235525501177894	0.813800888389131
mammoths	loc	Wrangel Island	0.267271485961634	0.676600322252166	0.395021221793068	0.692827226235887
mammoths	loc	Yakutia	0.839229778478611	1.73062996299302	0.484927336533115	0.627727890374359
mammoths	loc2	(Intercept)	0.827907034739607	0.355310304035174	2.33009576513055	0.0198010902113171
mammoths	loc2	Wrangel	0.195240753447878	0.45533013753194	0.428789437277654	0.668076466461624
mammoths	age	(Intercept)	0.95762661435429	0.375208338043021	2.55225302121215	0.0107028761481194
mammoths	age	age	-2.03699783979079e-07	1.88324132520011e-05	-0.0108164461587223	0.991369892888155
